"Track";"Album Name";"Artist";"Release Date";"ISRC";"All Time Rank";"Track Score";"Spotify Streams";"Spotify Playlist Count";"Spotify Playlist Reach";"Spotify Popularity";"YouTube Views";"YouTube Likes";"TikTok Posts";"TikTok Likes";"TikTok Views";"YouTube Playlist Reach";"Apple Music Playlist Count";"AirPlay Spins";"SiriusXM Spins";"Deezer Playlist Count";"Deezer Playlist Reach";"Amazon Playlist Count";"Pandora Streams";"Pandora Track Stations";"Soundcloud Streams";"Shazam Counts";"Explicit Track"
"I KNOW ?";"UTOPIA";"Travis Scott";"2023-07-28";"USSM12305012";121;139.5;532605345;128534;31725858;81;97958347;1237197;322900;322900;947194801;259363238;46;107637;57;33;1423258;40;6334599;8712;12785993;1861958;1
"ANDO";"ANDO";"Jere Klein";"2023-09-27";"QMDA72363047";122;139.0;292789738;28591;30905957;72;406307035;809942;1900606;1900606;872862858;1969191415;11;1754;0;15;8391160;1;764473;5168;0;1195337;1
"First Class";"First Class";"Jack Harlow";"2022-04-08";"USAT22203024";123;138.6;818858244;223609;49586777;71;231229581;2756840;1610614;1610614;6890780336;3849170813;148;666615;4406;37;759989;77;117451442;40907;24111168;4244972;1
"FE!N";"UTOPIA";"Travis Scott";"2023-07-28";"USSM12305010";124;137.8;659010786;129923;93969186;86;125203447;1990342;22100;22100;107398826;244390161;87;37314;361;46;2137898;38;3029375;6510;14942955;1839283;1
"I Ain't Worried";"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"""")""";"OneRepublic";"2022-05-13";"USUM72206227";127;136.2;1607421145;212406;160444270;83;409785349;3326477;247865;247865;1825552705;2563240162;267;523907;3418;111;4754372;75;152770142;49622;0;9091826;0
"MI EX TENï¿½ï¿½A RA";"MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA";"KAROL G";"2023-08-10";"USUG12305253";128;136.2;438796949;23959;34805394;78;509727241;2202866;1223804;1223804;782582119;1337889706;56;60758;959;29;3457921;38;38214505;9932;62622;865444;0
"Mood (feat. iann dior)";"Mood (feat. Iann Dior)";"24kGoldn";"2020-07-24";"USQX92003025";130;133.0;1867736006;302486;82611625;76;747126783;10795292;2467227;2467227;1768836179;2069527154;329;931316;1897;273;3821598;85;240562062;131540;40756476;10228436;1
"Dynamite";"Dynamite";"BTS";"2020-08-21";"QM7282022872";131;132.3;1872577908;144619;51186002;74;2147483647;62311179;3098499;3098499;5063720138;2199001119;323;351169;198;355;1888088;98;0;0;0;7896781;0
"Someone You Loved";"Breach";"Lewis Capaldi";"2018-11-08";"DEUM71807062";133;129.7;3427498835;338763;160553919;82;2147483647;20891433;1940473;1940473;2161032034;2333853734;408;600211;381;502;4834088;110;427212257;357540;0;29266297;0
"Acrï¿½ï¿½s";"Acrï¿½ï¿½stico - Si";"Shakira";"2023-05-11";"USQX92302824";134;129.6;230849195;23091;12233221;64;363082908;5135848;4897595;4897595;1551501289;150614267;49;24103;214;25;319914;33;23525446;4705;0;623446;0
"Made You Look";"Takin' It Back";"Meghan Trainor";"2022-10-21";"USSM12204574";135;129.5;720720922;74295;89509926;77;221078988;2557839;4687520;4687520;15247253457;718932832;108;412680;5869;43;1491347;59;81828913;36462;0;3086624;0
"vampire";"vampire";"Olivia Rodrigo";"2023-06-30";"USUG12304091";138;128.9;998964097;90793;87801398;18;113450524;2108657;394640;394640;1448207880;1111017294;173;161513;93;61;5239925;128;28318435;67590;4296515;4872257;1
"Casca de Bala";"A Cara das Vaquejadas 3.0";"Thullio Milionï¿½ï¿";"2024-03-01";"BCAEW2400001";139;128.5;37157630;2052;30387641;74;63418833;427441;1600000;1600000;8850449;149589609;11;190;0;32;8460458;11;0;0;0;42895;0
